,id,text,time,location,followers,user_id,favorite_count,retweet_count,verified,rumour,reply_id,reply_text,reply_time,reply_location,reply_followers,reply_user_id,reply_verified
0,580317556516483072,BREAKING We got reports the crash could be an Airbus A320 Germanwings between Barcelona and Dusseldorf.,Tue Mar 24 10:37:41 +0000 2015,London Paris NYC Melbourne,57279,2280470022,37,574,False,1,580317706794213376,@airlivenet no deutch compagnie flight from Marignane this morning,Tue Mar 24 10:38:17 +0000 2015,Fresnes,210,406549143,False
1,580317556516483072,BREAKING We got reports the crash could be an Airbus A320 Germanwings between Barcelona and Dusseldorf.,Tue Mar 24 10:37:41 +0000 2015,London Paris NYC Melbourne,57279,2280470022,37,574,False,1,580318879131529216,@airlivenet Flightradar shows a gradual descent over the final 10 minutes http://t.co/DxbxCZPE6n,Tue Mar 24 10:42:57 +0000 2015,"Once York, now Bath",141,546638842,False
2,580317556516483072,BREAKING We got reports the crash could be an Airbus A320 Germanwings between Barcelona and Dusseldorf.,Tue Mar 24 10:37:41 +0000 2015,London Paris NYC Melbourne,57279,2280470022,37,574,False,1,580318926980190208,@airlivenet 4U9525 flight?,Tue Mar 24 10:43:08 +0000 2015,,89,21342445,False
3,580317556516483072,BREAKING We got reports the crash could be an Airbus A320 Germanwings between Barcelona and Dusseldorf.,Tue Mar 24 10:37:41 +0000 2015,London Paris NYC Melbourne,57279,2280470022,37,574,False,1,580319055942443008,@airlivenet Lost height...but speed constant... http://t.co/5H3MAwydIQ,Tue Mar 24 10:43:39 +0000 2015,Birmingham,227,19067172,False
4,580317556516483072,BREAKING We got reports the crash could be an Airbus A320 Germanwings between Barcelona and Dusseldorf.,Tue Mar 24 10:37:41 +0000 2015,London Paris NYC Melbourne,57279,2280470022,37,574,False,1,580319309966098432,"@airlivenet @KayBurley 
Another #Airline disaster. What's going wrong?
@FoxNews @AP @piersmorgan @BBCWorld @LouiseMensch @nytimes @nypost",Tue Mar 24 10:44:39 +0000 2015,,109,2520839886,False
5,580317556516483072,BREAKING We got reports the crash could be an Airbus A320 Germanwings between Barcelona and Dusseldorf.,Tue Mar 24 10:37:41 +0000 2015,London Paris NYC Melbourne,57279,2280470022,37,574,False,1,580319826423492608,Gadver! “@airlivenet: BREAKING We got reports the crash could be an Airbus A320 Germanwings between Barcelona and Dusseldorf.”,Tue Mar 24 10:46:43 +0000 2015,Deventer,398,14215935,False
6,580317998147325952,142 PEOPLE ON BOARD GERMANWINGS AIRBUS A320 THAT CRASHED IN SOUTHERN FRANCE,Tue Mar 24 10:39:27 +0000 2015,London,8818,67345697,2,40,False,1,580318424297017344,@minefornothing rip,Tue Mar 24 10:41:08 +0000 2015,London,855,15841958,False
7,580317998147325952,142 PEOPLE ON BOARD GERMANWINGS AIRBUS A320 THAT CRASHED IN SOUTHERN FRANCE,Tue Mar 24 10:39:27 +0000 2015,London,8818,67345697,2,40,False,1,580318759447068672,@minefornothing + 6 crew,Tue Mar 24 10:42:28 +0000 2015,,550,270390078,False
8,580318020192571392,BREAKING: GermanWings A320 Crash in Southern France,Tue Mar 24 10:39:32 +0000 2015,"Paris, Ile-de-France, France",10259,5867842,1,27,False,1,580336794299805696,"@stefandevries BREAKING - Germanwings plane crashes in France, up to 150 believed dead
http://t.co/HWyOPGobie",Tue Mar 24 11:54:08 +0000 2015,"London, United Kingdom",518,2459278543,False
9,580318210609696769,BREAKING - A Germanwings Airbus A320 plane reportedly crashed in the region of Digne (French Alps) #Flightradar24 - French TV #itele,Tue Mar 24 10:40:17 +0000 2015,,44674,26738483,9,45,True,1,580319016574537728,"@SallyRMelb @hamishNews Shit!

That's horrible. A full service I pressume. Hope it's not true. Fingers crossed.",Tue Mar 24 10:43:30 +0000 2015,SEMelb Vict Aust,1951,32241249,False
10,580318669483413504,"Sad news, plane crashed in southern France http://t.co/2K5CklKRzZ #GermanWings",Tue Mar 24 10:42:07 +0000 2015,London,1740,78302221,9,61,False,1,580336529412771840,"@LindaSharkey BREAKING - Germanwings plane crashes in France, up to 150 believed dead
http://t.co/HWyOPGobie",Tue Mar 24 11:53:05 +0000 2015,"London, United Kingdom",520,2459278543,False
11,580318669483413504,"Sad news, plane crashed in southern France http://t.co/2K5CklKRzZ #GermanWings",Tue Mar 24 10:42:07 +0000 2015,London,1740,78302221,9,61,False,1,580366504157437952,@LindaSharkey bad News Had luck,Tue Mar 24 13:52:11 +0000 2015,Kano state,86,2761348367,False
12,580318669483413504,"Sad news, plane crashed in southern France http://t.co/2K5CklKRzZ #GermanWings",Tue Mar 24 10:42:07 +0000 2015,London,1740,78302221,9,61,False,1,580378410788233216,@LindaSharkey high probability due to a bomb - mohammedans 99% propbalility terrorists doing this kind of jihad actions. Pope support terror,Tue Mar 24 14:39:30 +0000 2015,SpainAmerica COLOMBIA Bogotá.,2115,17814139,False
13,580318669483413504,"Sad news, plane crashed in southern France http://t.co/2K5CklKRzZ #GermanWings",Tue Mar 24 10:42:07 +0000 2015,London,1740,78302221,9,61,False,1,580420744221483008,@LindaSharkey Possible explanation? #incapacitated #aerotoxic http://t.co/lc8B2vIsx0,Tue Mar 24 17:27:43 +0000 2015,,291,261297837,False
14,580318717860532224,"Airbus passenger plane crashed in French Alps said to belong to Lufthansa subsidiary Germanwings, flying Barcelone-Dusseldorf",Tue Mar 24 10:42:18 +0000 2015,,3200,6591312,2,27,False,1,580336445816078336,"@marcburleigh BREAKING - Germanwings plane crashes in France, up to 150 believed dead
http://t.co/HWyOPGobie",Tue Mar 24 11:52:45 +0000 2015,"London, United Kingdom",521,2459278543,False
15,580318938996740096,"142 passengers on board GermanWings plane which has crashed in French Alps, according to AFP",Tue Mar 24 10:43:11 +0000 2015,,44674,26738483,1,46,True,1,580319320464596992,"Airbus A320. RT @hamishNews: 142 passengers on board GermanWings plane which has crashed in French Alps, according to AFP",Tue Mar 24 10:44:42 +0000 2015,Afghanistan ,15386,25475608,True
16,580318938996740096,"142 passengers on board GermanWings plane which has crashed in French Alps, according to AFP",Tue Mar 24 10:43:11 +0000 2015,,44674,26738483,1,46,True,1,580320459801149440,@hamishNews geezuz.,Tue Mar 24 10:49:14 +0000 2015,Australia,45,2733817785,False
17,580318938996740096,"142 passengers on board GermanWings plane which has crashed in French Alps, according to AFP",Tue Mar 24 10:43:11 +0000 2015,,44674,26738483,1,46,True,1,580320765192482817,@hamishNews Oh No not another plane down 😁😳,Tue Mar 24 10:50:26 +0000 2015,Bathurst NSW,192,282062693,False
18,580318938996740096,"142 passengers on board GermanWings plane which has crashed in French Alps, according to AFP",Tue Mar 24 10:43:11 +0000 2015,,44674,26738483,1,46,True,1,580336266014666753,"@hamishNews BREAKING - Germanwings plane crashes in France, up to 150 believed dead
http://t.co/HWyOPGobie",Tue Mar 24 11:52:02 +0000 2015,"London, United Kingdom",521,2459278543,False
19,580319005703069696,Several European news agencies reporting an accident involving a Germanwings Airbus A320 in southern France. Developing... #breaking,Tue Mar 24 10:43:27 +0000 2015,"Headquartered in New York, NY",44744,51381252,11,32,False,1,580320249972727808,@NYCAviation more and more running with it 😞 @minefornothing: 142 PEOPLE ON BOARD GERMANWINGS AIRBUS A320 THAT CRASHED IN SOUTHERN FRANCE,Tue Mar 24 10:48:24 +0000 2015,,253,2893235717,False
20,580319005703069696,Several European news agencies reporting an accident involving a Germanwings Airbus A320 in southern France. Developing... #breaking,Tue Mar 24 10:43:27 +0000 2015,"Headquartered in New York, NY",44744,51381252,11,32,False,1,580336215833980929,"@NYCAviation BREAKING - Germanwings plane crashes in France, up to 150 believed dead
http://t.co/HWyOPGobie",Tue Mar 24 11:51:50 +0000 2015,"London, United Kingdom",517,2459278543,False
21,580319078155468800,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI,Tue Mar 24 10:43:44 +0000 2015,"London, UK",14134290,5402612,684,4388,True,1,580319546592112640,@BBCBreaking @BBCNews @CharlieHorlock @max_kretzschmar,Tue Mar 24 10:45:36 +0000 2015,wycombe/holyhead,731,299273094,False
